Object_name,Food_Type,FNDDS Food Code,Weight (g),Energy (Kcal),Protein (g),Fat (g),Carbs (g),Volume
Tuna_salad,new_tuna_salad_4,27450060,431.0,831.83,43.61,68.29,12.13,430.68
Waffle,Waffle_1,55200200,38.0,97.66,2.7132,1.3566,18.6808,104.78
Waffle,Waffle_2,55200200,46.0,118.22,3.2844,1.6422,22.6136,108.35
Waffle,waffle_4,55200060,69.0,199.41,4.678199999999999,5.7891,32.223,94.91
Waffle,Waffle_5,55200200,72.0,185.04,5.1408,2.5704,35.3952,112.58
Waffle,waffle_6,55200110,191.0,916.8,16.4069,55.1226,88.051,472.1
Waffle,waffle_7,55200120,243.0,860.22,16.038,51.2487,83.7621,579.02
Waffle,new_waffle_1,55200110,172.0,825.6,14.7748,49.6392,79.292,425.23
Waffle,new_waffle_2,55208000,37.0,106.93,2.507,3.1,17.27,50.87
Waffle,new_waffle_4,55200020,29.0,89.61,2.1518,2.7521,14.0331,55.21
Waffle,new_waffle_5,55200030,31.0,90.52,3.0132,2.2785,14.4925,59.22
Whole_Chicken,Chicken_1,24102010,1307.0,2653.21,322.829,141.156,0.0,1548.6
Whole_Chicken,Chicken_2,24102010,1483.0,3010.49,366.301,160.164,0.0,1620.32
Whole_Chicken,Chicken_3,24102010,1480.0,3004.4,365.56,159.84,0.0,1642.18
Whole_Chicken,chicken_5,24102050,833.0,1366.12,223.1607,52.9788,0.0,980.19
Yeast_bread,yeast_bread_1,51301010,33.0,90.42,3.5211,1.4949,15.6882,116.13
Yeast_bread,yeast_bread_2,51301010,26.0,71.24000000000001,2.7742,1.1778,12.3604,84.16
Yeast_bread,yeast_bread_3,51301010,30.0,82.2,3.201,1.359,14.262,123.38
Yeast_bread,yeast_bread_4,51109010,466.0,1206.94,44.22340000000001,12.7218,224.1926,1414.37
Yeast_bread,yeast_bread_5,51109010,454.0,1175.86,43.0846,12.3942,218.4194,1480.65
Yeast_bread,yeast_bread_6,51133010,659.0,1792.48,70.8425,15.9478,341.8892,2095.2
Yeast_bread,yeast_bread_7,51109010,43.0,111.37,4.0807,1.1739,20.6873,127.02
Yeast_bread,yeast_bread_8,51109010,32.0,82.88,3.0368,0.8736,15.3952,98.95
Yeast_bread,yeast_bread_9,51109010,27.0,69.93,2.5623,0.7371000000000001,12.9897,72.82
Yogurt,yogurt_1,11434020,172.0,141.04,13.8632,0.258,20.984,165.28
Yogurt,yogurt_2,11434020,108.0,88.56,8.7048,0.162,13.176,152.02
Yogurt,new_yogurt_1,11430000,157.0,139.73,7.3162,2.1509,22.7022,182.31
Yogurt,new_yogurt_2,11430000,158.0,140.62,7.362800000000001,2.1646,22.8468,146.25
Yogurt,new_yogurt_3,11430000,155.0,137.95,7.223000000000001,2.1235,22.413,146.46
Yogurt,new_yogurt_4,11430000,157.0,139.73,7.3162,2.1509,22.7022,143.59
